Modelltyp,Term,Koeffizient,SE,Statistik,p_Wert
Robustheitsmodell A (+ Recommended IND),McFadden Pseudo-R2,0.27084309584193555,,,
Robustheitsmodell A (+ Recommended IND),AIC,40364.890371695015,,,
Robustheitsmodell A (+ Recommended IND),N,22627.0,,,
Robustheitsmodell A (+ Recommended IND),Condition Number (roh),34499.69179368216,,,
Robustheitsmodell A (+ Recommended IND),Condition Number (zentriert),3793.5575523072844,,,
Robustheitsmodell B (+ Positive Feedback Count),Geschätztes Minimum (Age),36.36184445352781,,,
Robustheitsmodell B (+ Positive Feedback Count),McFadden Pseudo-R2,0.003693918053475631,,,
Robustheitsmodell B (+ Positive Feedback Count),AIC,55143.55739917692,,,
Robustheitsmodell B (+ Positive Feedback Count),N,22627.0,,,
Robustheitsmodell B (+ Positive Feedback Count),Condition Number (roh),34501.32217261807,,,
Robustheitsmodell B (+ Positive Feedback Count),Condition Number (zentriert),3790.519906734153,,,
